zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,794.12,0.87,791.62,3.59,784.58,12.98,0.38,-1.18,yes
z6      ,794.15,0.70,794.95,1.99,797.18,6.68,0.55,0.42,yes
z11     ,794.51,1.17,796.51,6.26,802.10,23.04,0.28,0.98,yes
z16     ,794.55,1.72,799.63,12.64,813.80,46.60,0.29,2.40,yes
z14     ,794.55,0.66,790.82,3.54,780.29,13.14,0.29,-1.80,no
z9      ,794.59,1.09,799.06,6.63,811.54,24.38,0.28,2.12,yes
z10     ,795.25,1.64,802.10,11.70,821.19,42.92,0.30,3.19,no
z3      ,795.44,0.75,792.62,2.40,784.69,8.35,0.48,-1.33,no
z5      ,795.49,1.61,799.47,11.36,810.60,41.75,0.31,1.90,no
z13     ,795.65,1.19,799.10,6.49,808.72,23.61,0.35,1.65,no
z12     ,795.85,1.05,796.87,5.34,799.70,19.65,0.27,0.51,no
z2      ,796.76,0.85,795.17,3.55,790.74,12.69,0.42,-0.73,no
z4      ,797.69,1.41,799.35,5.80,803.97,20.92,0.34,0.82,no