zircon,207Pb/206Pb,207Pb/206Pb_2sigma,207Pb/235U,207Pb/235U_2sigma,206Pb/238U,206Pb/238U_2sigma,include
SB7-11,673,118,682,30,684.4,6.8,no
SB7-12,747,35,757.8,9.6,761.6,1.3,no
SB7-13,668,56,706,14,718.1,1.9,yes
SB7-14,730,38,724,10,721.9,1.8,yes
SB7-15,728,32,721.8,8.7,719.9,1.6,yes
SB8-9,770,2,767.3,0.6,766.5,0.3,no
SB8-10,783,10,777,3,775.1,1.0,no
SB8-11,776,7,775,2,774.0,0.5,no
SB8-12,774,24,781.7,6.8,784.3,1.4,no
SB8-13,761,26,750.2,7.0,746.7,1.8,no
SB8-14,769,12,772,3,772.2,1.2,no
SB7-15,817,22,799,6,792.4,1.2,no