sample,zircon,include,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma
DS,z1,no,715.48,0.8,718,1.2,725.9,4
DS,z3,yes,718.34,0.33,719.45,0.83,722.9,3.1
DS,z4,no,716.3,1.1,718.9,1.9,727.2,6.7
DS,z5,yes,718.22,0.55,719.4,1,722.9,3.4
DS,z6,no,717.01,0.83,719.1,1.5,725.6,5.4
DS,z7,yes,718.37,0.49,719.95,0.67,724.9,2
DS,z8,yes,717.81,0.48,719.6,2.4,725.3,9.7
DS,z9,no,712.52,0.91,716.5,3.4,729,13
DS,z10,yes,717.82,0.64,718.4,1.1,720.3,3.6
DS,z11,yes,718.67,0.56,719.55,0.99,722.3,3.5
DS,z12,yes,719.3,1.1,720.3,1.2,723.4,3.4
SLSC,z1,no,712.3,1,713,7.5,715,31
SLSC,z3,no,724.61,0.46,723.8,1.7,721.5,6.7
SLSC,z4,yes,718.64,0.39,720.4,1.2,725.7,4.5
SLSC,z5,no,714.56,0.43,717.5,2.3,726.8,9.2
SLSC,z6,yes,719.4,0.41,720.21,0.93,722.7,3.4
SLSC,z7,no,720.5,0.42,720.6,1.5,721,5.6
SLSC,z9,yes,718.31,0.82,718.7,2.3,719.9,8.6
SLSC,z11,no,715.84,0.92,716.4,4.9,718,19
SLSC,z12,yes,718.44,0.82,720,2.2,725,8.5
SLSC,z13,yes,717.9,1.4,717.4,2.7,715.6,9.8